Metric,2023-24,school
unit_multiplier,1.0,LEWIS_UNIVERSITY
gross_tuition_revenue,176354500.0,LEWIS_UNIVERSITY
financial_aid,61366813.0,LEWIS_UNIVERSITY
net_tuition_revenue,114987687.0,LEWIS_UNIVERSITY
government_grants_contracts_total,2415998.0,LEWIS_UNIVERSITY
private_gifts_grants_contracts,1893541.0,LEWIS_UNIVERSITY
total_gifts_contracts_other_support,4319539.0,LEWIS_UNIVERSITY
state_appropriations,,LEWIS_UNIVERSITY
private_gifts_with_donor_restrictions,3950938.0,LEWIS_UNIVERSITY
investment_income_operations,2327332.0,LEWIS_UNIVERSITY
investment_income_total,6969157.0,LEWIS_UNIVERSITY
investment_income_with_donor_restrictions,1198078.0,LEWIS_UNIVERSITY
auxiliary_enterprise_revenue,11730550.0,LEWIS_UNIVERSITY
healthcare_clinical_revenue,,LEWIS_UNIVERSITY
net_assets_released_from_restrictions,9609640.0,LEWIS_UNIVERSITY
other_operating_rev,2123651.0,LEWIS_UNIVERSITY
total_operating_revenue,145088399.0,LEWIS_UNIVERSITY
instructional_expense,67652756.0,LEWIS_UNIVERSITY
research_expense,,LEWIS_UNIVERSITY
instructional_research_expense,,LEWIS_UNIVERSITY
auxiliary_enterprise_expense,6535495.0,LEWIS_UNIVERSITY
healthcare_clinical_expense,,LEWIS_UNIVERSITY
academic_support,1450316.0,LEWIS_UNIVERSITY
student_services,24499103.0,LEWIS_UNIVERSITY
institutional_support,41411764.0,LEWIS_UNIVERSITY
public_service_expense,,LEWIS_UNIVERSITY
student_aid_expense,,LEWIS_UNIVERSITY
total_operating_expense,144129070.0,LEWIS_UNIVERSITY
net_operating_income,959329.0,LEWIS_UNIVERSITY
operation_maintenance_expense,,LEWIS_UNIVERSITY
depreciation_amortization_expense,11118736.0,LEWIS_UNIVERSITY
interest_expense,1920303.0,LEWIS_UNIVERSITY
non_op_realized_investment_net_with_donor,2450269.0,LEWIS_UNIVERSITY
non_op_realized_investment_net_without_donor,4641825.0,LEWIS_UNIVERSITY
extraordinary_gain_or_loss,41948.0,LEWIS_UNIVERSITY
net_assets_released_for_capital,888354.0,LEWIS_UNIVERSITY
change_fair_value_derivatives,,LEWIS_UNIVERSITY
capital_grants_gifts,,LEWIS_UNIVERSITY
change_net_assets_without_donor_restrictions,23471502.0,LEWIS_UNIVERSITY
change_net_assets_with_donor_restrictions,3825344.0,LEWIS_UNIVERSITY
total_change_in_net_assets,27296846.0,LEWIS_UNIVERSITY
other_non_op,,LEWIS_UNIVERSITY
